Año,Comuna,Población Total,Población Masculina,Población Femenina,Barrios
2020,Comuna 7,241861,113923,127938,Flores y Parque Chacabuco
2020,Comuna 8,228953,109653,119300,"Villa Soldati, Villa Riachuelo y Villa Lugano"
2020,Comuna 9,171264,82856,88408,"Liniers, Mataderos y Parque Avellaneda"
2020,Comuna 10,170592,80065,90527,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro"
2020,Comuna 11,190076,89756,100320,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita"
2020,Comuna 12,214777,100392,114385,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón"
2020,Comuna 13,236358,107991,128367,"Núñez, Belgrano y Colegiales"
2020,Comuna 14,227115,102784,124331,Palermo
2020,Comuna 15,182465,85398,97067,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas"
2021,Comuna 1,257235,128410,128825,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución"
2021,Comuna 2,149371,66672,82699,Recoleta
2021,Comuna 3,193425,91457,101968,Balvanera y San Cristóbal
2021,Comuna 4,240437,115260,125177,"La Boca, Barracas, Parque Patricios y Nueva Pompeya"
2021,Comuna 5,187670,86453,101217,Almagro y Boedo
2021,Comuna 6,185620,84942,100678,Caballito
2021,Comuna 7,242188,114217,127971,Flores y Parque Chacabuco
2021,Comuna 8,229541,110169,119372,"Villa Soldati, Villa Riachuelo y Villa Lugano"
2021,Comuna 9,171444,83027,88417,"Liniers, Mataderos y Parque Avellaneda"
2021,Comuna 10,170677,80145,90532,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro"
2021,Comuna 11,190105,89789,100316,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita"
2021,Comuna 12,215002,100594,114408,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón"
2021,Comuna 13,236468,108098,128370,"Núñez, Belgrano y Colegiales"
2021,Comuna 14,227168,102841,124327,Palermo
2021,Comuna 15,182485,85421,97064,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas"
